id,strain,mouse.id,dam,sire,sex,dob,date.2wk,date.3wk,date.6wk,date.9wk,sac.date,age.sac,ls,seq,mtw,tissue,recombinat,sac,gfp,rfp,mfp,ffp,tf
b1,2DB,2DFB(F2)-01-01-01,2DFB-04-03-04,2DFB-04-03-05,0,05-Aug-05,19-Aug-05,26-Aug-05,16-Sep-05,07-Oct-05,12-Oct-05,68,7,1,26.7,0,nr,26.2,0.531,0.12,0.202,0.466,1.319
b2,2DB,2DFB(F2)-01-01-02,2DFB-04-03-04,2DFB-04-03-05,0,05-Aug-05,19-Aug-05,26-Aug-05,16-Sep-05,07-Oct-05,12-Oct-05,68,7,1,26.7,1,nr,26.3,0.426,0.083,0.185,0.361,1.055
b3,2DB,2DFB(F2)-01-01-03,2DFB-04-03-04,2DFB-04-03-05,0,05-Aug-05,19-Aug-05,26-Aug-05,16-Sep-05,07-Oct-05,12-Oct-05,68,7,1,26.7,1,nr,25.7,0.301,0.076,0.18,0.262,0.819
b4,2DB,2DFB(F2)-01-01-04,2DFB-04-03-04,2DFB-04-03-05,1,05-Aug-05,19-Aug-05,26-Aug-05,16-Sep-05,07-Oct-05,12-Oct-05,68,7,1,26.7,1,nr,35.8,0.385,0.082,0.224,0.305,0.996
b5,2DB,2DFB(F2)-01-01-05,2DFB-04-03-04,2DFB-04-03-05,1,05-Aug-05,19-Aug-05,26-Aug-05,16-Sep-05,07-Oct-05,12-Oct-05,68,7,1,26.7,1,nr,32.7,0.527,0.119,0.152,0.354,1.152
b6,2DB,2DFB(F2)-01-01-06,2DFB-04-03-04,2DFB-04-03-05,1,05-Aug-05,19-Aug-05,26-Aug-05,16-Sep-05,07-Oct-05,12-Oct-05,68,7,1,26.7,1,nr,39.7,0.405,0.07,0.145,0.293,0.913
b7,2DB,2DFB(F2)-01-01-07,2DFB-04-03-04,2DFB-04-03-05,1,05-Aug-05,19-Aug-05,26-Aug-05,16-Sep-05,07-Oct-05,12-Oct-05,68,7,1,26.7,0,nr,35.9,0.496,0.101,0.19,0.346,1.133
b8,2DB,2DFB(F2)-01-02-01,.,.,0,20-Aug-05,03-Sep-05,10-Sep-05,01-Oct-05,22-Oct-05,24-Oct-05,65,2,1,29.5,1,R,26.5,0.525,0.109,0.249,0.419,1.302
b9,2DB,2DFB(F2)-01-02-02,.,.,0,20-Aug-05,03-Sep-05,10-Sep-05,01-Oct-05,22-Oct-05,24-Oct-05,65,2,1,29.5,1,nr,27,0.603,0.149,0.279,0.544,1.575
b10,2DB,2DFB(F2)-01-03-01,2DFB-04-03-04,2DFB-04-03-05,0,17-Sep-05,01-Oct-05,08-Oct-05,29-Oct-05,19-Nov-05,17-Nov-05,61,7,2,44,1,nr,26.9,0.478,0.107,0.21,0.511,1.306
b11,2DB,2DFB(F2)-01-03-02,2DFB-04-03-04,2DFB-04-03-05,0,17-Sep-05,01-Oct-05,08-Oct-05,29-Oct-05,19-Nov-05,17-Nov-05,61,7,2,44,1,nr,26.9,0.507,0.075,0.277,0.44,1.299
b12,2DB,2DFB(F2)-01-03-03,2DFB-04-03-04,2DFB-04-03-05,0,17-Sep-05,01-Oct-05,08-Oct-05,29-Oct-05,19-Nov-05,17-Nov-05,61,7,2,44,1,nr,27.6,0.405,0.071,0.234,0.384,1.094
b13,2DB,2DFB(F2)-01-03-04,2DFB-04-03-04,2DFB-04-03-05,1,17-Sep-05,01-Oct-05,08-Oct-05,29-Oct-05,19-Nov-05,17-Nov-05,61,7,2,44,1,nr,34.5,0.559,0.164,0.307,0.444,1.474
b14,2DB,2DFB(F2)-01-03-05,2DFB-04-03-04,2DFB-04-03-05,1,17-Sep-05,01-Oct-05,08-Oct-05,29-Oct-05,19-Nov-05,17-Nov-05,61,7,2,44,1,nr,33.9,0.677,0.181,0.322,0.523,1.703
