symbol	chr2	strand	start	end	color	y
1700021F07Rik	2	F	173.348092	173.354003	blue	0.3
Ppp4r1l-ps	2	R	173.40482	173.48504	red	0.6
Rab22a	2	F	173.485345	173.527683	blue	0.9
Vapb	2	F	173.563071	173.609837	blue	1.2
Stx16	2	F	173.902551	173.925272	blue	1.5
Npepl1	2	F	173.935851	173.948201	blue	1.8
Nespas	2	R	174.106737	174.120937	red	2.1
Gnas	2	F	174.10982	174.172243	blue	2.4
Th1l	2	F	174.241304	174.253003	blue	2.7
Ctsz	2	R	174.252994	174.264493	red	3
Tubb1	2	F	174.276195	174.283383	blue	3.3
Atp5e	2	R	174.286575	174.289602	red	3.6
Slmo2	2	R	174.290591	174.298442	red	0.3
Zfp831	2	F	174.469034	174.536331	blue	0.6
Edn3	2	F	174.586273	174.609543	blue	0.9
LOC664987	2	R	174.887049	174.893264	red	0.3
0610010B08Rik	2	R	174.952492	175.261278	red	0.6
Gm14391	2	R	175.010665	175.032425	red	0.9
0610010B08Rik	2	R	175.017505	175.163713	red	1.2
Gm6710	2	R	175.01848	175.032418	red	1.5
Gm14391	2	R	175.01978	175.032425	red	1.8
Gm14288	2	F	175.100624	175.112306	blue	2.1
Gm14430	2	R	175.147334	175.163713	red	2.4
Gm14434	2	R	175.147334	175.163713	red	2.7
Gm14308	2	R	175.150243	175.163712	red	3
Gm14431	2	F	175.197962	175.21078	blue	3.3
Gm8898	2	F	175.197962	175.21078	blue	3.6
Gm14434	2	R	175.244891	175.261278	red	3.9
Gm14430	2	R	175.244891	175.261278	red	4.2
Gm14308	2	R	175.2478	175.261277	red	4.5
Mir296	2	R	174.092547	174.092626	red	2.1
Mir298	2	R	174.093004	174.093086	red	2.4
